instance,n,edges,budget_ms,seed,solver,objective,has_incumbent,wall_ms,valid,status,bound,branches,conflicts
brock200-1.gph,200,14834,10,1,random,4,,0.03496,1,heuristic,,,
brock200-1.gph,200,14834,10,1,local,4,,4.42918,1,heuristic,,,
brock200-1.gph,200,14834,10,1,morph,6,,11.1691,1,heuristic,,,
brock200-1.gph,200,14834,10,1,cp-sat,nan,False,18.926586999896244,0,UNKNOWN,0.0,0,0
brock200-1.gph,200,14834,10,2,degree,4,,0.035248,1,heuristic,,,
brock200-1.gph,200,14834,10,2,random,4,,0.035299,1,heuristic,,,
brock200-1.gph,200,14834,10,2,local,4,,4.48848,1,heuristic,,,
brock200-1.gph,200,14834,10,2,morph,6,,10.7895,1,heuristic,,,
brock200-1.gph,200,14834,10,2,cp-sat,nan,False,17.717582999921433,0,UNKNOWN,0.0,0,0
brock200-1.gph,200,14834,10,3,degree,4,,0.035305,1,heuristic,,,
brock200-1.gph,200,14834,10,3,random,4,,0.03493,1,heuristic,,,
brock200-1.gph,200,14834,10,3,local,4,,4.50176,1,heuristic,,,
brock200-1.gph,200,14834,10,3,morph,6,,10.7534,1,heuristic,,,
brock200-1.gph,200,14834,10,3,cp-sat,nan,False,18.204828000307316,0,UNKNOWN,0.0,0,0
brock200-1.gph,200,14834,10,4,degree,4,,0.03476,1,heuristic,,,
brock200-1.gph,200,14834,10,4,random,4,,0.033475,1,heuristic,,,
brock200-1.gph,200,14834,10,4,local,4,,4.5069,1,heuristic,,,
brock200-1.gph,200,14834,10,4,morph,6,,10.8954,1,heuristic,,,
brock200-1.gph,200,14834,10,4,cp-sat,nan,False,17.981508000048052,0,UNKNOWN,0.0,0,0
brock200-1.gph,200,14834,10,5,degree,4,,0.03521,1,heuristic,,,
brock200-1.gph,200,14834,10,5,random,4,,0.051985,1,heuristic,,,
brock200-1.gph,200,14834,10,5,local,4,,4.5187,1,heuristic,,,
brock200-1.gph,200,14834,10,5,morph,6,,10.7955,1,heuristic,,,
brock200-1.gph,200,14834,10,5,cp-sat,nan,False,17.670164000264776,0,UNKNOWN,0.0,0,0
brock200-1.gph,200,14834,50,1,degree,4,,0.041855,1,heuristic,,,
brock200-1.gph,200,14834,50,1,random,4,,0.035057,1,heuristic,,,
brock200-1.gph,200,14834,50,1,local,4,,4.43036,1,heuristic,,,
brock200-1.gph,200,14834,50,1,morph,6,,51.1721,1,heuristic,,,
brock200-1.gph,200,14834,50,1,cp-sat,nan,False,60.64853199995923,0,UNKNOWN,0.0,0,0
brock200-1.gph,200,14834,50,2,degree,4,,0.044423,1,heuristic,,,
brock200-1.gph,200,14834,50,2,random,4,,0.036211,1,heuristic,,,
brock200-1.gph,200,14834,50,2,local,4,,4.46579,1,heuristic,,,
brock200-1.gph,200,14834,50,2,morph,6,,50.8112,1,heuristic,,,
brock200-1.gph,200,14834,50,2,cp-sat,nan,False,61.29742700022689,0,UNKNOWN,0.0,0,0
brock200-1.gph,200,14834,50,3,degree,4,,0.042787,1,heuristic,,,
brock200-1.gph,200,14834,50,3,random,4,,0.04333,1,heuristic,,,
brock200-1.gph,200,14834,50,3,local,4,,4.40409,1,heuristic,,,
brock200-1.gph,200,14834,50,3,morph,6,,50.2009,1,heuristic,,,
brock200-1.gph,200,14834,50,3,cp-sat,nan,False,62.45777899994209,0,UNKNOWN,0.0,0,0
brock200-1.gph,200,14834,50,4,degree,4,,0.042842,1,heuristic,,,
brock200-1.gph,200,14834,50,4,random,4,,0.034869,1,heuristic,,,
brock200-1.gph,200,14834,50,4,local,4,,4.95155,1,heuristic,,,
